Сыновья и любовники,Борис Пастернак,Психология,1745,85,32,Мягкий,Наследство,07.09.2008,12.06.2009,Сложная для понимания книга
Красная книжица,Джейн Остин,Роман,1935,39,20,Мягкий,Покупка,31.03.2005,29.03.2000,Сложная для понимания книга
Кролик,Владимир Богомолов,Фантастика,1884,71,97,Твердый,Подарок,15.06.2019,26.03.2015,Неплохя книга
Листья травы,Ганс Христиан Андерсен,Рассказ,1530,86,96,Твердый,Наследство,24.03.2005,07.07.2005,Неплохя книга
Толкование сновидений,Редьярд Киплинг,Учебник,1698,17,88,Мягкий,Наследство,10.02.2018,27.12.2017,Сложная для понимания книга
Государь,Гомер,Научная лит-ра,1601,15,36,Мягкий,Покупка,12.04.1998,03.07.1998,Хорошая книга
Капитал,Чарльз Диккенс,Стихотворения,1930,26,30,Твердый,Наследство,29.12.2000,16.08.2006,Неплохя книга
Приключения Гекльберри Финна,Аркадий Стругацкий,Рассказ,2001,21,91,Твердый,Наследство,15.03.2003,08.12.2020,Сложная для понимания книга
Лорд Джим,Герман Гессе,Роман,1910,62,55,Твердый,Покупка,03.10.1998,14.06.2020,Сложная для понимания книга
Безмолвная весна,Михаил Булгаков,Фантастика,1490,40,98,Твердый,Подарок,11.06.2001,01.02.2003,Хорошая книга
Гамлет,Братья Вайнеры,Комедия,1841,20,71,Мягкий,Подарок,26.06.2006,21.09.2005,Сложная для понимания книга
Отелло,Александр Беляев,Фантастика,1648,74,85,Твердый,Наследство,24.10.1998,19.12.2005,Ужасная книга
Путешествия Гулливера,Илья Ильф,Психология,1988,76,67,Твердый,Покупка,07.11.2006,02.06.2000,Хорошая книга
Скотный двор,Иван Бунин,Стихотворения,1919,55,45,Твердый,Наследство,27.10.2014,07.07.2010,Ужасная книга
Повелитель мух,Лев Толстой,Психология,1619,55,69,Мягкий,Наследство,26.10.2004,12.08.2017,Замечательная книга
1984,Антон Чехов,Стихотворения,1646,61,85,Твердый,Подарок,15.07.2002,31.01.2002,Неплохя книга
Общая теория занятости,Чарльз Диккенс,Роман,1884,18,30,Мягкий,Покупка,02.02.1998,28.11.2013,Неплохя книга
Госпожа Бовари,Иван Шмелёв,Комедия,1668,99,56,Твердый,Подарок,11.06.2010,14.08.1999,Ужасная книга
Я,Эрих Мария Ремарк,Учебник,1967,71,17,Мягкий,Покупка,08.12.2015,24.07.2010,Ужасная книга
Заводной апельсин,Ганс Христиан Андерсен,Рассказ,1677,65,19,Твердый,Подарок,01.11.2000,11.06.2012,Ужасная книга
Заводной апельсин,Михаил Булгаков,Фантастика,1753,30,36,Мягкий,Наследство,08.01.2016,30.01.2003,Сложная для понимания книга
О происхождении видов,Иван Гончаров,Фантастика,1723,93,96,Мягкий,Подарок,05.12.1999,29.02.2004,Ужасная книга
 Клавдий,Иван Тургенев,Роман,1575,81,89,Мягкий,Наследство,28.10.2004,17.06.2002,Замечательная книга
Эпоха невинности,Иоганн Вольфганг фон Гёте,Учебник,1486,64,70,Мягкий,Покупка,26.03.2008,08.09.2009,Неплохя книга
Лорд Джим,Виктор Драгунский,Комедия,2011,67,57,Мягкий,Подарок,23.07.1995,15.11.2011,Замечательная книга
Заводной апельсин,Григорий Белых,Стихотворения,1647,17,49,Мягкий,Подарок,17.01.2016,01.10.2002,Замечательная книга
Заводной апельсин,Джордж Оруэлл,Драма,1915,49,93,Твердый,Покупка,03.06.2020,07.04.2015,Замечательная книга
 вещай с горы,Антон Макаренко,Учебник,1813,34,44,Твердый,Подарок,03.02.2008,26.05.2006,Сложная для понимания книга
Вечный сон,Николай Некрасов,Фантастика,1637,41,42,Мягкий,Покупка,18.04.2002,10.12.1996,Неплохя книга
Франкенштейн,Фрэнсис Скотт Фицджеральд,Рассказ,1449,27,34,Твердый,Покупка,27.04.2002,22.11.2002,Хорошая книга
Паутина Шарлотты,Томас Манн,Фантастика,1502,22,13,Твердый,Подарок,19.06.1996,19.08.2006,Ужасная книга
История,Редьярд Киплинг,Стихотворения,1896,99,37,Мягкий,Подарок,07.01.2013,14.01.2021,Хорошая книга
Гроздья гнева,Евгений Шварц,Фантастика,1553,38,83,Твердый,Наследство,08.04.2007,19.03.2020,Неплохя книга
Унесенные ветром,Джейн Остин,Роман,1692,11,38,Твердый,Подарок,31.12.2003,29.08.2012,Сложная для понимания книга
Потерянный рай,Уильям Шекспир,Комедия,2003,34,25,Мягкий,Наследство,20.12.1996,07.10.1999,Хорошая книга
Заводной апельсин,Кир Булычев,Драма,1994,52,41,Мягкий,Подарок,29.01.2013,01.12.2001,Ужасная книга
Дети полуночи,Уильям Шекспир,Драма,1973,93,71,Твердый,Подарок,20.06.2015,25.07.2020,Неплохя книга
Исповедь,Валентин Распутин,Драма,1916,69,86,Мягкий,Наследство,25.04.2009,30.08.2013,Хорошая книга
Улисс,Роберт Льюис Стивенсон,Повесть,1727,16,42,Мягкий,Подарок,04.08.2003,24.02.2001,Хорошая книга
История,Теодор Драйзер,Комедия,1527,17,33,Твердый,Покупка,11.01.2002,19.11.2019,Сложная для понимания книга
Американская трагедия,Иван Крылов,Стихотворения,1543,55,61,Твердый,Покупка,09.09.2006,21.10.2014,Сложная для понимания книга
Божественная комедия,Василий Шукшин,Учебник,1849,79,19,Мягкий,Наследство,08.06.2017,02.01.2010,Хорошая книга
Сто лет одиночества,Иван Ефремов,Роман,1671,85,44,Твердый,Подарок,19.07.2011,08.04.2005,Ужасная книга
Души черного народа,Василий Шукшин,Повесть,1979,11,42,Твердый,Подарок,03.02.2008,23.09.2000,Ужасная книга
 колдунья и платяной шкаф,Лев Толстой,Комедия,1416,70,58,Твердый,Подарок,10.01.1997,23.10.2015,Ужасная книга
Эпоха невинности,Александр Дюма,Учебник,1889,53,28,Твердый,Покупка,14.01.2020,03.12.2003,Хорошая книга
Когда я умирала,Григорий Белых,Рассказ,1525,60,56,Мягкий,Подарок,20.04.2013,16.10.2010,Неплохя книга
Песнь Соломона,Джером Д. Сэлинджер,Повесть,1818,20,21,Мягкий,Наследство,26.01.2014,12.01.2017,Сложная для понимания книга
Иди,Мария Семенова,Стихотворения,1727,57,97,Мягкий,Наследство,12.06.1996,05.10.2020,Сложная для понимания книга
 Клавдий,Артур Конан Дойль,Психология,1658,62,15,Твердый,Наследство,28.04.1995,08.05.2010,Хорошая книга
В дороге,Кир Булычев,Роман,1647,43,25,Мягкий,Подарок,09.01.2006,22.03.1996,Ужасная книга
Миссис Дэллоуэй,Юлиан Семенов,Учебник,1932,18,71,Мягкий,Наследство,08.04.2012,27.09.2006,Сложная для понимания книга
Тропик Рака,Даниель Дефо,Рассказ,1756,88,79,Мягкий,Подарок,31.07.2000,22.11.2017,Замечательная книга
Кролик,Владимир Обручев,Научная лит-ра,1935,24,63,Твердый,Наследство,24.03.1996,21.01.1995,Хорошая книга
Государь,Леонид Филатов,Повесть,1441,67,92,Мягкий,Подарок,20.04.2017,15.06.2006,Ужасная книга
О дивный новый мир,Николай Носов,Фантастика,1583,50,61,Твердый,Подарок,15.05.2009,15.09.2012,Ужасная книга
Вся королевская рать,Александр Блок,Рассказ,1519,62,52,Мягкий,Наследство,21.02.1997,15.12.2012,Неплохя книга
Кролик,Виктор Гюго,Повесть,1455,45,81,Твердый,Наследство,08.03.2011,05.09.2005,Замечательная книга
Скотный двор,Корней Чуковский,Повесть,1602,42,56,Мягкий,Наследство,31.12.2003,05.09.2000,Ужасная книга
Уловка-22,Василий Шукшин,Фантастика,1504,76,62,Мягкий,Покупка,04.08.2006,22.01.2016,Неплохя книга
Король Лир,Герман Гессе,Повесть,1409,64,18,Мягкий,Покупка,22.01.2001,02.08.2019,Неплохя книга
Над кукушкиным гнездом,Гомер,Роман,1911,31,76,Мягкий,Наследство,06.03.2021,05.02.2008,Ужасная книга
Демократия в Америке,Александр Куприн,Научная лит-ра,1756,46,100,Твердый,Покупка,13.11.2012,03.07.2017,Хорошая книга
Отелло,Маргарет Митчелл,Повесть,1531,55,98,Мягкий,Наследство,30.08.2019,21.06.2004,Ужасная книга
Приключения Гекльберри Финна,Борис Пастернак,Роман,1940,66,87,Твердый,Покупка,17.08.2006,13.02.2011,Неплохя книга
История,Роберт Льюис Стивенсон,Психология,1502,46,52,Твердый,Покупка,23.09.2021,07.07.2000,Ужасная книга
Ким,Оскар Уайльд,Комедия,1666,10,15,Мягкий,Подарок,01.09.1998,21.09.2010,Ужасная книга
Библия,Валентин Пикуль,Психология,1977,67,33,Твердый,Наследство,19.12.2017,08.02.2015,Сложная для понимания книга
Темные начала,Юлиан Семенов,Стихотворения,1451,78,51,Мягкий,Покупка,08.06.2021,09.05.2004,Неплохя книга
 Клавдий,Аркадий Стругацкий,Фантастика,1911,29,91,Мягкий,Подарок,13.06.2021,07.05.2004,Ужасная книга
Илиада и Одиссея,Виктор Драгунский,Роман,1660,80,72,Твердый,Подарок,17.09.2008,26.05.2011,Замечательная книга
Ким,Иван Тургенев,Психология,1832,55,92,Мягкий,Наследство,01.08.2000,27.05.2017,Замечательная книга
Вечный сон,Теодор Драйзер,Драма,1762,12,83,Твердый,Наследство,22.03.2006,16.06.2013,Замечательная книга
 вещай с горы,Джордж Оруэлл,Комедия,1812,20,88,Мягкий,Подарок,07.02.2005,31.03.2016,Замечательная книга
В поисках утраченного времени,Маргарет Митчелл,Психология,1620,80,79,Мягкий,Покупка,04.09.2012,23.11.2017,Ужасная книга
В поисках утраченного времени,Харуки Мураками,Роман,1634,47,50,Твердый,Наследство,10.12.2002,17.11.2000,Ужасная книга
История,Франц Кафка,Стихотворения,1603,94,63,Мягкий,Покупка,12.06.2003,30.09.2017,Сложная для понимания книга
Приключения Гекльберри Финна,Михаил Салтыков-Щедрин,Научная лит-ра,1436,64,66,Твердый,Наследство,17.10.1995,07.08.2020,Замечательная книга
Винни-Пух,Борис Пастернак,Стихотворения,1562,100,23,Твердый,Наследство,15.02.2002,17.09.2019,Ужасная книга
Общая теория занятости,Михаил Салтыков-Щедрин,Фантастика,1556,22,23,Твердый,Покупка,17.05.2011,05.02.2013,Сложная для понимания книга
День саранчи,Евгений Замятин,Рассказ,1796,99,38,Твердый,Наследство,01.06.2004,18.11.2015,Неплохя книга
Унесенные ветром,Александр Куприн,Фантастика,1572,68,76,Твердый,Подарок,05.04.2003,20.08.2015,Неплохя книга
Лолита,Гомер,Драма,1596,29,47,Твердый,Покупка,19.12.2013,03.04.2010,Ужасная книга
Смерть приходит за архиепископом,Юлиан Семенов,Рассказ,1834,22,49,Твердый,Подарок,28.05.2020,09.10.1997,Неплохя книга
Винни-Пух,Теодор Драйзер,Учебник,1818,23,20,Твердый,Покупка,22.10.2007,02.04.2018,Замечательная книга
Золотая тетрадь,Джером Д. Сэлинджер,Повесть,1831,80,53,Твердый,Подарок,06.02.2002,22.09.2004,Сложная для понимания книга
Лев,Герберт Уэллс,Психология,1473,51,23,Мягкий,Подарок,07.06.2008,23.10.2001,Замечательная книга
Король Лир,Алексей Толстой,Учебник,1924,60,64,Твердый,Наследство,21.11.2009,14.05.2006,Хорошая книга
День саранчи,Шарлотта Бронте,Рассказ,1871,23,32,Твердый,Подарок,10.02.2017,03.04.2014,Неплохя книга
Библия,Корней Чуковский,Рассказ,1451,29,35,Мягкий,Покупка,13.12.2004,01.06.2002,Сложная для понимания книга
Сердце тьмы,Виктор Гюго,Рассказ,1775,50,14,Твердый,Наследство,27.06.1998,11.01.2021,Сложная для понимания книга
Золотая тетрадь,Джек Лондон,Рассказ,1794,49,33,Мягкий,Покупка,14.02.2017,28.05.2001,Ужасная книга
Ночь,Гавриил Троепольский,Фантастика,1656,56,64,Твердый,Покупка,18.08.2003,24.10.2010,Неплохя книга
 Воспитание Генри Адамса,Вениамин Каверин,Рассказ,1810,73,85,Мягкий,Наследство,24.09.2012,01.08.2008,Хорошая книга
Общество изобилия,Жюль Верн,Комедия,1440,20,42,Твердый,Наследство,27.03.2010,23.01.2000,Хорошая книга
Сонеты,Федор Достоевский,Стихотворения,1724,17,66,Мягкий,Покупка,19.05.2015,25.07.2020,Замечательная книга
Улисс,Лев Кассиль,Драма,1536,51,43,Мягкий,Наследство,25.03.2021,08.12.2013,Ужасная книга
Многообразие религиозного опыта,Борис Пастернак,Научная лит-ра,1402,99,86,Мягкий,Покупка,21.04.1999,25.05.2021,Хорошая книга
Божественная комедия,Иван Крылов,Комедия,1833,31,17,Твердый,Наследство,02.08.2001,01.02.2015,Замечательная книга
Потерянный рай,Василь Быков,Повесть,1990,88,36,Твердый,Покупка,02.08.2000,28.02.2003,Ужасная книга
Когда я умирала,Шарлотта Бронте,Драма,1744,18,42,Твердый,Покупка,20.02.2002,20.03.2000,Ужасная книга
Госпожа Бовари,Александр Грин,Рассказ,1518,87,46,Твердый,Подарок,26.07.2011,29.05.1995,Замечательная книга
Эпоха невинности,Аркадий Гайдар,Научная лит-ра,1828,44,12,Твердый,Наследство,11.02.1999,01.01.2011,Замечательная книга
Со всем этим покончено,Редьярд Киплинг,Фантастика,1800,65,22,Мягкий,Подарок,22.03.1995,20.12.2012,Сложная для понимания книга
Человек-невидимка,Александр Беляев,Роман,1829,81,32,Мягкий,Покупка,15.10.2020,02.08.2020,Хорошая книга
Случай Портного,Гавриил Троепольский,Стихотворения,1482,51,62,Твердый,Покупка,13.07.1996,31.05.2008,Сложная для понимания книга
Сердце,Гавриил Троепольский,Научная лит-ра,1973,47,89,Мягкий,Покупка,08.02.2012,16.09.1998,Неплохя книга
Исповедь,Ярослав Гашек,Стихотворения,1496,52,69,Мягкий,Подарок,11.03.1998,12.06.1997,Ужасная книга
Свет в августе,Александр Островский,Психология,1693,26,51,Твердый,Подарок,09.07.2020,01.10.2016,Сложная для понимания книга
Эпоха невинности,Ярослав Гашек,Научная лит-ра,1787,84,99,Твердый,Подарок,11.05.2002,11.03.1999,Ужасная книга
Гроздья гнева,Леонид Филатов,Стихотворения,1449,99,69,Твердый,Наследство,06.03.2008,12.12.2019,Замечательная книга
Сонеты,Илья Ильф,Рассказ,1653,71,79,Мягкий,Покупка,15.11.2001,01.09.2017,Хорошая книга
Паутина Шарлотты,Анатолий Рыбаков,Рассказ,1520,65,85,Мягкий,Наследство,16.11.1999,19.01.2017,Сложная для понимания книга
Красная книжица,Иван Гончаров,Драма,1820,28,84,Твердый,Наследство,11.03.2000,01.12.2009,Неплохя книга
 Клавдий,Василий Шукшин,Драма,1888,89,58,Мягкий,Покупка,01.12.1998,07.07.2001,Сложная для понимания книга
Паутина Шарлотты,Аркадий Стругацкий,Драма,1743,43,40,Твердый,Наследство,20.03.1997,12.05.2016,Хорошая книга
Многообразие религиозного опыта,Михаил Булгаков,Научная лит-ра,1753,41,97,Твердый,Наследство,24.01.2016,10.01.2014,Хорошая книга
Отелло,Чарльз Диккенс,Психология,1930,28,38,Твердый,Покупка,23.11.1996,09.05.2001,Замечательная книга
Госпожа Бовари,Александр Волков,Стихотворения,1490,52,90,Твердый,Подарок,24.08.2001,24.01.2005,Сложная для понимания книга
Над пропастью во ржи,Братья Вайнеры,Фантастика,1905,97,13,Твердый,Наследство,16.03.2017,15.04.2009,Сложная для понимания книга
Библия,Артур Конан Дойль,Комедия,1843,62,86,Твердый,Наследство,29.07.2002,06.02.2019,Хорошая книга
Винни-Пух,Иоганн Вольфганг фон Гёте,Фантастика,1730,39,87,Твердый,Наследство,11.11.1995,06.09.2010,Ужасная книга
Ночь,Валентин Распутин,Стихотворения,1650,43,32,Твердый,Наследство,02.02.1995,01.07.2002,Ужасная книга
Я,Сергей Алексеев,Фантастика,1452,37,59,Твердый,Наследство,09.11.2007,21.06.2001,Ужасная книга
Мидлмарч,Евгений Замятин,Учебник,1692,87,65,Твердый,Покупка,20.03.2014,14.11.2014,Неплохя книга
 Клавдий,Николай Некрасов,Повесть,1755,79,98,Мягкий,Подарок,23.12.1999,14.09.2001,Неплохя книга
Родной сын,Марк Твен,Повесть,1629,97,57,Твердый,Наследство,10.12.1998,27.01.2008,Сложная для понимания книга
Гроздья гнева,Александр Беляев,Комедия,1764,24,59,Твердый,Наследство,11.10.2017,11.08.2005,Ужасная книга
Об общественном договоре,Николай Носов,Драма,1426,41,83,Твердый,Покупка,19.05.2003,05.06.2020,Хорошая книга
Кролик,Артур Конан Дойль,Комедия,1875,92,70,Твердый,Подарок,28.06.1996,05.08.2013,Ужасная книга
Паутина Шарлотты,Виктор Драгунский,Психология,1617,99,55,Мягкий,Покупка,29.10.2007,29.09.2004,Хорошая книга
Толкование сновидений,Иван Гончаров,Рассказ,1920,74,73,Твердый,Покупка,17.04.2007,18.05.2019,Сложная для понимания книга
Листья травы,Джонатан Свифт,Учебник,2015,30,10,Твердый,Подарок,09.06.2007,25.01.2003,Замечательная книга
Души черного народа,Марк Твен,Рассказ,1516,87,56,Мягкий,Наследство,13.10.1996,06.11.2005,Замечательная книга
 вещай с горы,Вениамин Каверин,Научная лит-ра,1513,26,53,Твердый,Подарок,21.04.2009,17.09.2005,Неплохя книга
 Клавдий,Харуки Мураками,Повесть,1980,26,95,Твердый,Подарок,06.05.2005,20.06.2019,Ужасная книга
Война и мир,Илья Ильф,Рассказ,1455,49,71,Мягкий,Наследство,07.05.2018,31.05.2012,Сложная для понимания книга
Бойня номер пять,Артур Конан Дойль,Научная лит-ра,1469,24,89,Мягкий,Подарок,17.03.2021,19.09.2006,Сложная для понимания книга
Свет в августе,Иван Гончаров,Психология,1678,86,92,Мягкий,Покупка,29.10.2012,28.04.2012,Неплохя книга
В поисках утраченного времени,Ярослав Гашек,Рассказ,1557,66,21,Мягкий,Наследство,14.10.2017,11.06.2006,Ужасная книга
Сонеты,Артур Конан Дойль,Рассказ,1426,62,86,Твердый,Покупка,12.05.2010,16.05.1995,Замечательная книга
Уловка-22,Александр Блок,Комедия,1463,67,55,Мягкий,Наследство,23.03.2013,25.11.2011,Неплохя книга
Лев,Харуки Мураками,Драма,1432,99,98,Мягкий,Покупка,17.06.2004,13.01.2011,Неплохя книга
История,Григорий Белых,Драма,1586,96,78,Твердый,Наследство,21.02.2004,24.02.2005,Ужасная книга
 Клавдий,Иван Ефремов,Комедия,1657,62,30,Твердый,Подарок,16.08.2007,23.11.2009,Хорошая книга
Гордость и предубеждение,Александр Дюма,Стихотворения,1512,66,99,Твердый,Подарок,02.06.2000,13.03.2008,Неплохя книга
О дивный новый мир,Иоганн Вольфганг фон Гёте,Рассказ,1499,70,44,Мягкий,Наследство,15.12.2013,22.01.2019,Ужасная книга
Лев,Фрэнсис Скотт Фицджеральд,Учебник,1407,72,74,Мягкий,Покупка,20.10.1999,24.01.2003,Замечательная книга
Общество изобилия,Антон Чехов,Рассказ,1551,21,44,Мягкий,Наследство,04.10.2010,30.09.2011,Неплохя книга
Кентерберийские рассказы,Николай Гоголь,Драма,1882,97,49,Твердый,Наследство,05.03.2014,15.04.2008,Неплохя книга
Тропик Рака,Гавриил Троепольский,Психология,1786,59,30,Твердый,Подарок,14.09.1998,16.03.1997,Неплохя книга
Листья травы,Мария Семенова,Научная лит-ра,1518,56,75,Мягкий,Наследство,18.05.2013,06.02.2004,Замечательная книга
Возлюбленная,Александр Волков,Драма,1712,82,17,Твердый,Покупка,28.09.2012,10.09.1999,Замечательная книга
Золотая тетрадь,Иван Гончаров,Комедия,1895,94,93,Твердый,Подарок,10.10.2004,03.07.1999,Ужасная книга
Смерть приходит за архиепископом,Марк Твен,Повесть,1747,39,36,Мягкий,Подарок,04.10.2007,07.09.2001,Сложная для понимания книга
Отелло,Иван Крылов,Научная лит-ра,2003,43,90,Мягкий,Подарок,04.04.2000,11.06.2009,Ужасная книга
Война и мир,Томас Манн,Психология,1826,93,44,Мягкий,Подарок,07.05.2014,02.10.2018,Неплохя книга
Государь,Иван Крылов,Научная лит-ра,1902,72,75,Мягкий,Наследство,15.05.2009,24.01.2014,Неплохя книга
Пригоршня праха,Джейн Остин,Психология,1635,89,27,Твердый,Наследство,20.11.2005,07.10.2017,Неплохя книга
Бойня номер пять,Владимир Богомолов,Учебник,1955,43,74,Мягкий,Покупка,17.01.1998,15.06.1998,Хорошая книга
Гроздья гнева,Николай Некрасов,Роман,1966,37,50,Мягкий,Покупка,08.08.1995,08.11.2007,Замечательная книга
Великий Гэтсби,Юлиан Семенов,Научная лит-ра,1901,58,50,Мягкий,Покупка,10.03.2019,13.11.1996,Неплохя книга
 Клавдий,Герман Гессе,Рассказ,1515,29,54,Мягкий,Покупка,06.08.2005,11.07.1995,Замечательная книга
Души черного народа,Иван Шмелёв,Психология,1726,98,89,Твердый,Покупка,30.09.1997,13.03.2019,Неплохя книга
Красная книжица,Антон Чехов,Научная лит-ра,1709,32,78,Твердый,Подарок,19.07.2012,08.01.2014,Хорошая книга
Уловка-22,Александр Волков,Психология,1589,72,17,Твердый,Наследство,10.01.2016,20.03.2019,Замечательная книга
Госпожа Бовари,Алексей Толстой,Роман,1956,36,23,Мягкий,Наследство,26.06.1995,30.03.2003,Хорошая книга
Над пропастью во ржи,Джордж Оруэлл,Повесть,1695,71,18,Мягкий,Подарок,28.10.2014,31.10.1999,Хорошая книга
Лев,Джейн Остин,Драма,1471,62,72,Мягкий,Покупка,12.09.2004,18.08.2020,Хорошая книга
Демократия в Америке,Харуки Мураками,Рассказ,1553,28,43,Мягкий,Наследство,25.01.2002,12.03.2019,Неплохя книга
День саранчи,Антон Чехов,Комедия,1922,73,56,Твердый,Подарок,11.01.2017,21.03.1998,Замечательная книга
Ким,Джонатан Свифт,Психология,1403,47,59,Мягкий,Подарок,25.03.2018,15.04.2012,Сложная для понимания книга
 беги,Владимир Богомолов,Стихотворения,1784,100,63,Твердый,Подарок,09.08.2019,08.02.2004,Сложная для понимания книга
Сто лет одиночества,Валентин Катаев,Стихотворения,1564,31,30,Твердый,Покупка,10.06.2006,22.04.1999,Неплохя книга
Анна Каренина,Томас Манн,Комедия,2018,65,64,Мягкий,Покупка,02.07.2006,19.05.2000,Замечательная книга
В поисках утраченного времени,Максим Горький,Научная лит-ра,1691,76,18,Мягкий,Подарок,13.12.2001,21.08.2020,Сложная для понимания книга
Мидлмарч,Джейн Остин,Психология,2016,84,58,Твердый,Наследство,13.05.2004,10.08.2009,Ужасная книга
Винни-Пух,Александр Грин,Драма,1783,19,92,Твердый,Наследство,21.05.2007,26.11.2005,Сложная для понимания книга
Звук и ярость,Аркадий Стругацкий,Фантастика,1914,68,11,Мягкий,Подарок,02.06.2005,15.01.2006,Ужасная книга
Сыновья и любовники,Джером Д. Сэлинджер,Стихотворения,1917,28,80,Мягкий,Наследство,13.04.2011,23.08.2016,Ужасная книга
Сонеты,Жюль Верн,Научная лит-ра,2006,87,98,Мягкий,Подарок,01.03.2008,07.02.2016,Сложная для понимания книга
Великий Гэтсби,Фрэнсис Скотт Фицджеральд,Драма,1806,42,71,Мягкий,Наследство,09.01.2015,14.07.2019,Неплохя книга
Гамлет,Михаил Булгаков,Комедия,1414,31,73,Мягкий,Подарок,31.01.2002,05.04.1996,Ужасная книга
Об общественном договоре,Уильям Шекспир,Рассказ,1852,31,20,Твердый,Покупка,09.07.2008,15.11.2004,Хорошая книга
Путешествие в Индию,Иван Гончаров,Психология,1968,27,84,Твердый,Подарок,16.01.1996,21.09.2004,Неплохя книга
История,Иван Крылов,Научная лит-ра,1819,67,16,Мягкий,Подарок,23.10.2005,14.11.2018,Ужасная книга
Тропик Рака,Корней Чуковский,Комедия,1661,54,98,Твердый,Подарок,08.06.1997,10.09.2005,Ужасная книга
Паутина Шарлотты,Харуки Мураками,Научная лит-ра,2009,42,20,Мягкий,Наследство,26.11.2000,26.01.1999,Неплохя книга
Вся королевская рать,Евгений Замятин,Повесть,2017,34,65,Мягкий,Наследство,17.01.2001,20.07.2007,Неплохя книга
Отелло,Герман Гессе,Комедия,1995,38,42,Твердый,Подарок,17.08.2007,05.12.2014,Неплохя книга
Эпоха невинности,Александр Грибоедов,Повесть,1915,63,32,Мягкий,Наследство,29.06.2000,01.12.2009,Неплохя книга
Унесенные ветром,Уильям Шекспир,Стихотворения,1688,37,26,Твердый,Покупка,18.05.2010,27.02.2012,Неплохя книга
Мидлмарч,Даниель Дефо,Комедия,1537,20,40,Мягкий,Наследство,27.08.2011,21.07.2006,Сложная для понимания книга
Распад,Габриэль Гарсиа Маркес,Драма,1568,47,79,Мягкий,Покупка,02.05.1995,08.04.1997,Сложная для понимания книга
Песнь Соломона,Александр Грибоедов,Драма,1819,12,29,Твердый,Наследство,27.05.2014,10.07.2019,Ужасная книга
 Клавдий,Юлиан Семенов,Психология,1544,89,77,Твердый,Подарок,16.10.2018,16.07.2006,Ужасная книга
Бойня номер пять,Иван Гончаров,Комедия,1886,83,71,Мягкий,Подарок,09.05.2020,13.07.2004,Неплохя книга
Илиада и Одиссея,Николай Носов,Фантастика,1676,16,49,Мягкий,Наследство,30.11.2004,28.01.2016,Ужасная книга
Приключения Гекльберри Финна,Томас Манн,Роман,1688,85,27,Мягкий,Подарок,03.10.2005,07.12.1996,Сложная для понимания книга
Иди,Даниель Дефо,Роман,1434,21,31,Твердый,Подарок,01.02.2021,13.11.2012,Сложная для понимания книга
Тропик Рака,Лев Кассиль,Роман,1503,73,100,Мягкий,Подарок,03.04.2013,09.03.2007,Замечательная книга
Властелин колец,Эрнест Хемингуэй,Рассказ,1508,75,32,Твердый,Наследство,23.07.1999,23.02.2004,Неплохя книга
